bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
05,05515,9,6,4,7,27,240,2021-03-23 12:15:00,228,22
05,05554,6,9,2,5,21,52,2021-03-23 12:15:00,51,20
05,05558,5,1,1,3,17,23,2021-03-23 12:15:00,13,17
05,05562,15,17,5,14,32,193,2021-03-23 12:15:00,170,23
05,05566,7,7,1,5,27,70,2021-03-23 12:15:00,65,17
05,05570,6,8,5,5,10,38,2021-03-23 12:15:00,38,8
05,05711,6,11,7,4,22,133,2021-03-23 12:15:00,113,16
05,05754,4,3,0,4,6,46,2021-03-23 12:15:00,46,6
05,05758,5,8,4,3,10,54,2021-03-23 12:15:00,49,5
05,05762,6,3,0,5,9,26,2021-03-23 12:15:00,22,9
05,05766,2,7,4,2,5,45,2021-03-23 12:15:00,45,5
05,05770,9,10,5,6,21,204,2021-03-23 12:15:00,179,19
05,05774,7,16,12,5,14,92,2021-03-23 12:15:00,80,11
05,05911,8,15,9,6,26,163,2021-03-23 12:15:00,150,18
05,05913,9,23,15,9,40,249,2021-03-23 12:15:00,249,40
05,05914,7,12,6,5,15,78,2021-03-23 12:15:00,77,6
05,05915,7,6,3,5,28,66,2021-03-23 12:15:00,57,15
05,05916,4,13,9,4,5,58,2021-03-23 12:15:00,58,5
05,05954,7,5,3,6,31,106,2021-03-23 12:15:00,106,31
05,05958,10,16,5,9,28,73,2021-03-23 12:15:00,71,22
05,05962,10,28,10,8,16,101,2021-03-23 12:15:00,100,9
05,05966,3,2,1,3,12,15,2021-03-23 12:15:00,15,12
05,05970,8,12,7,7,26,121,2021-03-23 12:15:00,104,17
05,05974,9,8,1,7,10,76,2021-03-23 12:15:00,66,8
05,05978,8,16,8,8,10,97,2021-03-23 12:15:00,97,10
06,06411,7,12,9,4,21,88,2021-03-23 12:15:00,58,6
06,06412,17,59,23,12,31,263,2021-03-23 12:15:00,237,28
06,06413,4,22,5,2,12,88,2021-03-23 12:15:00,83,4
06,06414,6,16,8,4,9,99,2021-03-23 12:15:00,88,8
06,06431,5,8,3,5,7,35,2021-03-23 12:15:00,35,7
06,06432,2,17,13,2,3,24,2021-03-23 12:15:00,24,3
06,06433,2,12,5,2,2,20,2021-03-23 12:15:00,20,2
06,06434,2,8,3,2,0,27,2021-03-23 12:15:00,27,0
06,06435,7,15,3,4,12,72,2021-03-23 12:15:00,68,2
06,06436,2,7,2,2,9,20,2021-03-23 12:15:00,20,9
06,06437,2,21,10,2,2,124,2021-03-23 12:15:00,124,2
06,06438,2,11,7,2,1,21,2021-03-23 12:15:00,21,1
06,06439,2,5,0,2,1,15,2021-03-23 12:15:00,15,1
06,06440,5,11,1,5,2,70,2021-03-23 12:15:00,70,2
06,06531,6,31,25,4,27,204,2021-03-23 12:15:00,184,22
06,06532,2,2,0,2,7,43,2021-03-23 12:15:00,43,7
06,06533,4,5,3,4,12,42,2021-03-23 12:15:00,42,12
06,06534,3,6,5,3,27,130,2021-03-23 12:15:00,130,27
06,06535,4,1,0,4,4,21,2021-03-23 12:15:00,21,4
06,06611,6,11,8,6,23,135,2021-03-23 12:15:00,135,23
06,06631,5,16,7,3,9,83,2021-03-23 12:15:00,74,7
06,06632,4,9,2,3,9,49,2021-03-23 12:15:00,46,5
06,06633,4,0,0,4,11,23,2021-03-23 12:15:00,23,11
06,06634,3,3,3,3,11,20,2021-03-23 12:15:00,20,11
06,06635,7,5,2,7,30,85,2021-03-23 12:15:00,85,30
06,06636,3,7,2,3,5,27,2021-03-23 12:15:00,27,5
07,07111,6,10,3,4,24,88,2021-03-23 12:15:00,75,19
07,07131,2,4,2,2,2,16,2021-03-23 12:15:00,16,2
07,07132,2,3,2,2,9,5,2021-03-23 12:15:00,5,9
07,07133,6,2,1,4,17,32,2021-03-23 12:15:00,24,11
07,07134,2,1,0,2,4,18,2021-03-23 12:15:00,18,4
07,07135,2,2,0,2,7,6,2021-03-23 12:15:00,6,7
07,07137,3,3,2,3,9,29,2021-03-23 12:15:00,29,9
07,07138,8,9,3,5,14,56,2021-03-23 12:15:00,45,11
07,07140,2,0,0,2,9,7,2021-03-23 12:15:00,7,9
07,07141,5,7,4,5,3,27,2021-03-23 12:15:00,27,3
07,07143,4,4,3,4,12,19,2021-03-23 12:15:00,19,12
07,07211,6,7,3,3,12,74,2021-03-23 12:15:00,63,11
07,07231,2,1,1,2,6,18,2021-03-23 12:15:00,18,6
07,07232,2,0,0,2,3,13,2021-03-23 12:15:00,13,3
07,07233,2,1,0,2,2,14,2021-03-23 12:15:00,14,2
07,07235,2,2,0,2,5,10,2021-03-23 12:15:00,10,5
07,07311,1,3,1,1,3,12,2021-03-23 12:15:00,12,3
07,07312,3,2,2,1,17,96,2021-03-23 12:15:00,88,12
07,07313,3,0,0,2,14,15,2021-03-23 12:15:00,15,7
07,07314,6,12,6,4,21,101,2021-03-23 12:15:00,86,20
07,07315,2,12,3,2,10,101,2021-03-23 12:15:00,101,10
07,07316,1,0,0,1,1,14,2021-03-23 12:15:00,14,1
07,07317,2,1,0,1,8,8,2021-03-23 12:15:00,5,7
07,07318,3,5,3,2,3,26,2021-03-23 12:15:00,26,3
07,07319,3,2,1,1,21,31,2021-03-23 12:15:00,23,7
07,07320,1,0,0,1,6,8,2021-03-23 12:15:00,8,6
07,07331,1,0,0,1,6,2,2021-03-23 12:15:00,2,6
07,07332,2,0,0,2,8,9,2021-03-23 12:15:00,9,8
07,07333,2,0,0,2,6,6,2021-03-23 12:15:00,6,6
07,07334,2,7,4,2,6,18,2021-03-23 12:15:00,18,6
07,07335,1,1,1,1,9,5,2021-03-23 12:15:00,5,9
07,07336,1,1,1,1,2,14,2021-03-23 12:15:00,14,2
07,07337,2,0,0,2,3,10,2021-03-23 12:15:00,10,3
07,07339,1,1,0,1,0,10,2021-03-23 12:15:00,10,0
07,07340,1,1,0,1,6,3,2021-03-23 12:15:00,3,6
08,08111,12,21,9,10,37,228,2021-03-23 12:15:00,205,33
08,08115,6,7,1,4,6,48,2021-03-23 12:15:00,39,2
08,08116,8,14,7,4,12,67,2021-03-23 12:15:00,55,8
08,08117,5,6,4,3,18,33,2021-03-23 12:15:00,32,7
08,08118,5,18,13,4,4,90,2021-03-23 12:15:00,89,3
08,08119,4,9,4,2,7,54,2021-03-23 12:15:00,46,2
08,08121,3,11,5,1,12,49,2021-03-23 12:15:00,41,1
08,08125,2,0,0,2,1,45,2021-03-23 12:15:00,45,1
08,08126,1,2,1,1,0,7,2021-03-23 12:15:00,7,0
08,08127,4,11,3,2,10,45,2021-03-23 12:15:00,42,5
08,08128,4,5,4,3,17,51,2021-03-23 12:15:00,42,10
08,08135,2,2,0,1,5,17,2021-03-23 12:15:00,15,1
08,08136,8,7,2,4,17,59,2021-03-23 12:15:00,44,11
08,08211,3,6,2,1,2,20,2021-03-23 12:15:00,12,0
08,08212,6,12,6,4,7,122,2021-03-23 12:15:00,110,7
08,08215,3,6,2,3,9,42,2021-03-23 12:15:00,42,9
08,08216,2,0,0,2,0,12,2021-03-23 12:15:00,12,0
08,08221,8,13,8,6,20,239,2021-03-23 12:15:00,204,16
08,08222,6,16,14,3,18,115,2021-03-23 12:15:00,94,16
08,08225,3,2,0,3,3,17,2021-03-23 12:15:00,17,3
08,08226,4,3,0,4,7,35,2021-03-23 12:15:00,35,7
08,08231,4,3,3,2,23,48,2021-03-23 12:15:00,37,21
08,08235,3,3,2,3,8,21,2021-03-23 12:15:00,21,8
08,08236,2,0,0,2,5,7,2021-03-23 12:15:00,7,5
08,08237,1,2,0,1,7,5,2021-03-23 12:15:00,5,7
08,08311,7,16,9,4,22,178,2021-03-23 12:15:00,149,15
08,08315,4,6,0,4,8,45,2021-03-23 12:15:00,45,8
08,08316,3,4,4,3,4,88,2021-03-23 12:15:00,88,4
08,08317,8,11,5,6,29,64,2021-03-23 12:15:00,61,20
08,08325,2,1,0,2,4,6,2021-03-23 12:15:00,6,4
08,08326,6,5,0,2,14,41,2021-03-23 12:15:00,34,10
08,08327,1,3,0,1,5,7,2021-03-23 12:15:00,7,5
08,08335,10,7,3,6,33,63,2021-03-23 12:15:00,52,25
08,08336,2,3,2,2,3,28,2021-03-23 12:15:00,15,2
08,08337,1,2,2,1,1,9,2021-03-23 12:15:00,9,1
08,08415,3,2,1,1,8,36,2021-03-23 12:15:00,18,2
08,08416,5,4,4,2,13,97,2021-03-23 12:15:00,69,12
08,08417,1,1,1,1,4,21,2021-03-23 12:15:00,21,4
08,08421,5,11,3,4,32,110,2021-03-23 12:15:00,90,30
08,08425,2,1,1,2,2,12,2021-03-23 12:15:00,12,2
08,08426,1,3,2,1,0,14,2021-03-23 12:15:00,14,0
08,08435,5,4,2,3,11,55,2021-03-23 12:15:00,51,10
08,08436,6,14,6,4,23,49,2021-03-23 12:15:00,47,13
08,08437,2,4,1,2,4,10,2021-03-23 12:15:00,10,4
09,09161,1,2,2,1,13,36,2021-03-23 12:15:00,36,13
09,09162,36,64,41,25,72,533,2021-03-23 12:15:00,458,60
09,09163,3,2,1,1,13,32,2021-03-23 12:15:00,24,7
09,09171,3,3,2,2,5,23,2021-03-23 12:15:00,16,5
09,09172,3,4,4,3,2,20,2021-03-23 12:15:00,20,2
09,09173,2,4,0,2,1,23,2021-03-23 12:15:00,23,1
09,09174,1,2,1,1,0,26,2021-03-23 12:15:00,26,0
09,09175,1,3,3,1,3,18,2021-03-23 12:15:00,18,3
09,09176,3,3,2,3,4,49,2021-03-23 12:15:00,49,4
09,09177,1,0,0,1,0,19,2021-03-23 12:15:00,19,0
09,09178,1,6,2,1,2,11,2021-03-23 12:15:00,11,2
09,09179,1,4,2,1,0,12,2021-03-23 12:15:00,12,0
09,09180,4,7,3,2,6,64,2021-03-23 12:15:00,57,6
09,09181,2,2,2,1,9,5,2021-03-23 12:15:00,5,6
09,09182,1,3,2,1,5,17,2021-03-23 12:15:00,17,5
09,09183,1,2,1,1,3,13,2021-03-23 12:15:00,13,3
09,09184,2,0,0,2,0,10,2021-03-23 12:15:00,10,0
09,09185,4,3,2,2,9,24,2021-03-23 12:15:00,10,3
09,09186,1,0,0,1,0,8,2021-03-23 12:15:00,8,0
09,09187,5,9,7,5,7,59,2021-03-23 12:15:00,59,7
09,09188,6,4,1,5,8,48,2021-03-23 12:15:00,43,7
09,09189,4,11,7,3,7,52,2021-03-23 12:15:00,39,2
09,09190,3,5,3,3,7,17,2021-03-23 12:15:00,17,7
09,09261,5,10,4,3,6,53,2021-03-23 12:15:00,37,2
09,09262,4,5,2,2,16,31,2021-03-23 12:15:00,25,8
09,09263,1,5,2,1,2,28,2021-03-23 12:15:00,28,2
09,09271,2,9,6,2,6,30,2021-03-23 12:15:00,30,6
09,09272,2,4,3,2,2,16,2021-03-23 12:15:00,16,2
09,09273,3,5,1,3,0,7,2021-03-23 12:15:00,7,0
09,09274,1,3,0,1,1,5,2021-03-23 12:15:00,5,1
09,09275,2,5,0,2,3,26,2021-03-23 12:15:00,26,3
09,09276,2,7,5,2,2,12,2021-03-23 12:15:00,12,2
09,09277,2,4,2,2,0,16,2021-03-23 12:15:00,16,0
09,09278,2,4,2,2,3,8,2021-03-23 12:15:00,8,3
09,09279,2,0,0,2,3,21,2021-03-23 12:15:00,21,3
09,09361,3,12,8,1,10,33,2021-03-23 12:15:00,26,6
09,09362,7,37,32,4,32,181,2021-03-23 12:15:00,166,20
09,09363,3,11,5,1,8,56,2021-03-23 12:15:00,50,3
09,09371,1,4,1,1,1,9,2021-03-23 12:15:00,9,1
09,09372,1,5,4,1,2,12,2021-03-23 12:15:00,12,2
09,09373,1,4,2,1,3,19,2021-03-23 12:15:00,19,3
09,09375,2,0,0,2,1,13,2021-03-23 12:15:00,13,1
09,09376,4,9,6,4,2,21,2021-03-23 12:15:00,21,2
09,09377,2,6,6,2,6,12,2021-03-23 12:15:00,12,6
09,09461,5,7,2,1,13,40,2021-03-23 12:15:00,30,3
09,09462,7,13,12,2,8,58,2021-03-23 12:15:00,54,4
09,09463,3,3,2,1,8,35,2021-03-23 12:15:00,30,4
09,09464,3,12,6,1,3,30,2021-03-23 12:15:00,25,2
09,09471,2,2,2,2,6,10,2021-03-23 12:15:00,10,6
09,09472,1,0,0,1,3,4,2021-03-23 12:15:00,4,3
09,09474,2,3,1,2,1,13,2021-03-23 12:15:00,13,1
09,09475,2,4,4,2,3,14,2021-03-23 12:15:00,14,3
09,09476,1,4,2,1,0,14,2021-03-23 12:15:00,14,0
09,09477,1,11,9,1,2,25,2021-03-23 12:15:00,25,2
09,09478,3,2,1,3,12,35,2021-03-23 12:15:00,35,12
09,09479,2,6,0,2,7,13,2021-03-23 12:15:00,13,7
09,09561,2,4,0,2,6,19,2021-03-23 12:15:00,19,6
09,09562,5,19,17,3,26,119,2021-03-23 12:15:00,103,16
09,09563,3,8,4,1,4,48,2021-03-23 12:15:00,41,2
09,09564,12,29,13,6,29,158,2021-03-23 12:15:00,128,21
09,09565,1,0,0,1,1,3,2021-03-23 12:15:00,3,1
09,09571,3,1,0,3,5,18,2021-03-23 12:15:00,18,5
09,09572,1,1,0,1,1,3,2021-03-23 12:15:00,3,1
09,09574,3,5,3,3,3,22,2021-03-23 12:15:00,22,3
09,09575,2,3,2,2,6,39,2021-03-23 12:15:00,39,6
09,09576,1,1,1,1,3,3,2021-03-23 12:15:00,3,3
09,09577,2,1,0,2,3,13,2021-03-23 12:15:00,13,3
09,09661,3,4,3,1,4,52,2021-03-23 12:15:00,41,2
09,09662,4,7,1,2,7,60,2021-03-23 12:15:00,48,6
09,09663,4,8,6,2,27,122,2021-03-23 12:15:00,121,25
09,09671,1,2,2,1,0,6,2021-03-23 12:15:00,6,0
09,09672,4,2,1,4,2,43,2021-03-23 12:15:00,43,2
09,09673,1,10,2,1,20,115,2021-03-23 12:15:00,115,20
09,09674,2,1,0,2,2,7,2021-03-23 12:15:00,7,2
09,09675,1,1,0,1,1,7,2021-03-23 12:15:00,7,1
09,09676,1,6,4,1,0,10,2021-03-23 12:15:00,10,0
09,09677,1,1,0,1,1,7,2021-03-23 12:15:00,7,1
09,09678,2,0,0,2,3,3,2021-03-23 12:15:00,3,3
09,09679,1,1,1,1,0,9,2021-03-23 12:15:00,9,0
09,09761,6,19,3,3,39,117,2021-03-23 12:15:00,87,17
09,09762,1,4,2,1,1,14,2021-03-23 12:15:00,14,1
09,09763,3,4,1,1,12,30,2021-03-23 12:15:00,20,4
09,09764,3,1,1,1,1,29,2021-03-23 12:15:00,20,0
09,09771,2,3,2,2,1,15,2021-03-23 12:15:00,15,1
09,09772,2,1,0,2,4,9,2021-03-23 12:15:00,9,4
09,09773,2,1,1,2,6,8,2021-03-23 12:15:00,8,6
09,09774,4,2,0,4,5,43,2021-03-23 12:15:00,43,5
09,09775,2,0,0,2,8,11,2021-03-23 12:15:00,11,8
09,09776,2,0,0,2,7,5,2021-03-23 12:15:00,5,7
09,09777,3,0,0,3,10,8,2021-03-23 12:15:00,8,10
09,09778,2,4,1,2,3,11,2021-03-23 12:15:00,11,3
09,09779,3,2,2,3,0,25,2021-03-23 12:15:00,25,0
09,09780,2,3,1,2,2,14,2021-03-23 12:15:00,14,2
10,10041,9,18,6,7,26,156,2021-03-23 12:15:00,144,23
10,10042,1,1,0,1,2,10,2021-03-23 12:15:00,10,2
10,10043,5,3,1,3,4,32,2021-03-23 12:15:00,23,3
10,10044,4,2,1,3,17,42,2021-03-23 12:15:00,34,12
10,10045,4,22,12,2,22,177,2021-03-23 12:15:00,163,20
10,10046,1,1,1,1,3,11,2021-03-23 12:15:00,11,3
11,11000,64,206,139,41,163,1080,2021-03-23 12:15:00,991,137
12,12051,4,4,2,3,14,60,2021-03-23 12:15:00,52,6
12,12052,3,9,4,2,17,80,2021-03-23 12:15:00,71,14
12,12053,1,4,2,1,0,14,2021-03-23 12:15:00,14,0
12,12054,6,9,7,4,16,59,2021-03-23 12:15:00,48,9
12,12060,2,8,6,2,5,59,2021-03-23 12:15:00,59,5
12,12061,5,4,0,5,5,32,2021-03-23 12:15:00,32,5
12,12062,3,9,5,3,2,16,2021-03-23 12:15:00,16,2
12,12063,4,3,3,2,7,14,2021-03-23 12:15:00,14,3
12,12064,3,2,1,3,12,18,2021-03-23 12:15:00,18,12
12,12065,5,6,3,5,4,31,2021-03-23 12:15:00,31,4
12,12066,1,6,4,1,1,15,2021-03-23 12:15:00,15,1
12,12067,3,11,6,3,18,45,2021-03-23 12:15:00,45,18
12,12068,3,3,1,3,5,49,2021-03-23 12:15:00,49,5
12,12069,3,6,4,3,9,59,2021-03-23 12:15:00,59,9
12,12070,2,3,2,2,3,11,2021-03-23 12:15:00,11,3
12,12071,3,0,0,3,9,11,2021-03-23 12:15:00,11,9
12,12072,2,0,0,2,1,11,2021-03-23 12:15:00,11,1
12,12073,4,1,0,4,12,25,2021-03-23 12:15:00,25,12
13,13003,4,11,10,2,23,87,2021-03-23 12:15:00,79,16
13,13004,3,3,2,1,16,58,2021-03-23 12:15:00,48,4
13,13071,7,10,2,5,10,75,2021-03-23 12:15:00,64,8
13,13072,6,12,4,4,17,28,2021-03-23 12:15:00,28,17
13,13073,4,3,2,4,6,52,2021-03-23 12:15:00,52,6
13,13074,2,1,0,2,6,11,2021-03-23 12:15:00,11,6
13,13075,9,18,9,7,34,142,2021-03-23 12:15:00,135,25
13,13076,7,7,3,7,23,104,2021-03-23 12:15:00,104,23
14,14511,7,27,14,3,22,162,2021-03-23 12:15:00,143,15
14,14521,7,21,15,6,13,71,2021-03-23 12:15:00,70,10
14,14522,5,10,6,5,13,38,2021-03-23 12:15:00,38,13
14,14523,6,23,13,5,9,58,2021-03-23 12:15:00,58,5
14,14524,6,29,18,5,13,89,2021-03-23 12:15:00,88,12
14,14612,15,36,28,6,42,236,2021-03-23 12:15:00,219,29
14,14625,7,19,8,6,14,55,2021-03-23 12:15:00,55,14
14,14626,7,12,8,6,15,51,2021-03-23 12:15:00,45,15
14,14627,5,13,9,5,8,55,2021-03-23 12:15:00,55,8
14,14628,6,9,2,6,130,49,2021-03-23 12:15:00,49,130
14,14713,11,31,22,7,72,287,2021-03-23 12:15:00,250,58
14,14729,4,9,3,3,10,46,2021-03-23 12:15:00,40,10
14,14730,8,2,0,8,26,34,2021-03-23 12:15:00,34,26
15,15001,3,4,4,1,14,32,2021-03-23 12:15:00,30,4
15,15002,10,20,7,5,34,263,2021-03-23 12:15:00,248,22
15,15003,9,8,6,6,14,200,2021-03-23 12:15:00,180,9
15,15081,2,2,1,2,2,13,2021-03-23 12:15:00,13,2
15,15082,3,4,1,3,13,38,2021-03-23 12:15:00,38,13
15,15083,2,6,5,2,0,14,2021-03-23 12:15:00,14,0
15,15084,3,6,3,3,7,26,2021-03-23 12:15:00,26,7
15,15085,5,7,2,4,5,57,2021-03-23 12:15:00,51,3
15,15086,2,7,4,2,4,22,2021-03-23 12:15:00,22,4
15,15087,3,2,0,3,3,21,2021-03-23 12:15:00,21,3
15,15088,2,2,1,2,5,17,2021-03-23 12:15:00,17,5
15,15089,4,5,4,4,2,36,2021-03-23 12:15:00,36,2
15,15090,3,2,0,2,9,15,2021-03-23 12:15:00,15,6
15,15091,4,6,3,2,12,22,2021-03-23 12:15:00,22,10
16,16051,3,10,7,2,5,71,2021-03-23 12:15:00,68,4
16,16052,1,16,7,1,0,46,2021-03-23 12:15:00,46,0
16,16053,3,13,8,1,15,115,2021-03-23 12:15:00,96,7
16,16054,2,10,4,1,13,21,2021-03-23 12:15:00,19,5
16,16055,1,0,0,1,4,12,2021-03-23 12:15:00,12,4
16,16056,1,9,7,1,2,31,2021-03-23 12:15:00,31,2
16,16061,2,7,5,2,2,15,2021-03-23 12:15:00,15,2
16,16062,4,10,6,3,13,51,2021-03-23 12:15:00,44,5
16,16063,3,16,9,3,8,69,2021-03-23 12:15:00,69,8
16,16064,4,3,0,3,3,14,2021-03-23 12:15:00,14,1
16,16065,1,2,0,1,0,7,2021-03-23 12:15:00,7,0
16,16066,2,20,7,2,1,41,2021-03-23 12:15:00,41,1
16,16067,2,4,3,2,3,12,2021-03-23 12:15:00,12,3
16,16068,1,0,0,1,0,6,2021-03-23 12:15:00,6,0
16,16069,1,1,1,1,0,6,2021-03-23 12:15:00,6,0
16,16070,3,4,3,2,5,12,2021-03-23 12:15:00,11,5
16,16071,3,17,14,3,4,87,2021-03-23 12:15:00,87,4
16,16072,1,1,1,1,0,7,2021-03-23 12:15:00,7,0
16,16073,1,5,3,1,9,11,2021-03-23 12:15:00,11,9
16,16074,1,0,0,1,1,5,2021-03-23 12:15:00,5,1
16,16075,1,0,0,1,1,4,2021-03-23 12:15:00,4,1
16,16076,1,5,4,1,1,9,2021-03-23 12:15:00,9,1
16,16077,2,5,4,1,5,25,2021-03-23 12:15:00,24,4
