Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_invasiv_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-24	20	8	40.0	2	10.0	2	100.0
2020-04-25	20	7	35.0	0	0.0	0	0
2020-04-26	20	7	35.0	0	0.0	0	0
2020-04-27	20	11	55.0	2	10.0	0	0.0
2020-04-28	20	10	50.0	1	5.0	0	0.0
2020-04-29	20	9	45.0	1	5.0	0	0.0
2020-04-30	20	10	50.0	1	5.0	0	0.0
2020-05-01	20	11	55.0	0	0.0	0	0
2020-05-02	20	8	40.0	0	0.0	0	0
2020-05-03	20	13	65.0	0	0.0	0	0
2020-05-04	20	13	65.0	1	5.0	1	100.0
2020-05-05	20	10	50.0	1	5.0	1	100.0
2020-05-06	20	10	50.0	0	0.0	0	0
2020-05-07	20	14	70.0	0	0.0	0	0
2020-05-08	20	8	40.0	0	0.0	0	0
2020-05-09	20	8	40.0	0	0.0	0	0
2020-05-10	20	12	60.0	0	0.0	0	0
2020-05-11	20	9	45.0	1	5.0	1	100.0
2020-05-12	20	6	30.0	1	5.0	1	100.0
2020-05-13	20	8	40.0	0	0.0	0	0
2020-05-14	20	10	50.0	0	0.0	0	0
2020-05-15	20	9	45.0	0	0.0	0	0
2020-05-16	20	9	45.0	0	0.0	0	0
2020-05-17	20	7	35.0	0	0.0	0	0
2020-05-18	20	5	25.0	0	0.0	0	0
2020-05-19	20	6	30.0	0	0.0	0	0
2020-05-20	20	7	35.0	1	5.0	0	0.0
2020-05-21	20	16	80.0	2	10.0	0	0.0
2020-05-22	20	14	70.0	2	10.0	0	0.0
2020-05-23	20	9	45.0	2	10.0	2	100.0
2020-05-24	20	7	35.0	0	0.0	0	0
2020-05-25	20	8	40.0	0	0.0	0	0
2020-05-26	20	7	35.0	0	0.0	0	0
2020-05-27	20	9	45.0	0	0.0	0	0
2020-05-28	20	14	70.0	0	0.0	0	0
2020-05-29	20	7	35.0	1	5.0	0	0.0
2020-05-30	20	12	60.0	0	0.0	0	0
2020-05-31	20	12	60.0	0	0.0	0	0
2020-06-01	20	10	50.0	0	0.0	0	0
2020-06-02	20	9	45.0	0	0.0	0	0
2020-06-03	20	10	50.0	1	5.0	0	0.0
2020-06-04	20	15	75.0	1	5.0	0	0.0
2020-06-05	20	14	70.0	1	5.0	1	100.0
2020-06-06	20	11	55.0	1	5.0	1	100.0
2020-06-07	20	9	45.0	0	0.0	0	0
2020-06-08	20	9	45.0	1	5.0	0	0.0
2020-06-09	20	10	50.0	1	5.0	1	100.0
2020-06-10	20	12	60.0	0	0.0	0	0
2020-06-11	20	7	35.0	0	0.0	0	0
2020-06-12	20	13	65.0	0	0.0	0	0
2020-06-13	20	14	70.0	0	0.0	0	0
2020-06-14	20	10	50.0	0	0.0	0	0
2020-06-15	20	6	30.0	0	0.0	0	0
2020-06-16	20	10	50.0	0	0.0	0	0
2020-06-17	20	9	45.0	0	0.0	0	0
2020-06-18	20	10	50.0	0	0.0	0	0
2020-06-19	20	5	25.0	0	0.0	0	0
2020-06-20	20	12	60.0	0	0.0	0	0
2020-06-21	20	8	40.0	0	0.0	0	0
2020-06-22	20	12	60.0	3	15.0	1	33.3
2020-06-23	20	14	70.0	1	5.0	0	0.0
2020-06-24	20	13	65.0	0	0.0	0	0
2020-06-25	20	15	75.0	2	10.0	2	100.0
2020-06-26	20	15	75.0	1	5.0	1	100.0
2020-06-27	20	18	90.0	0	0.0	0	0
2020-06-28	20	13	65.0	0	0.0	0	0
2020-06-29	20	15	75.0	0	0.0	0	0
2020-06-30	20	10	50.0	0	0.0	0	0
2020-07-01	20	10	50.0	0	0.0	0	0
2020-07-02	20	17	85.0	0	0.0	0	0
2020-07-03	20	15	75.0	0	0.0	0	0
2020-07-04	20	12	60.0	0	0.0	0	0
2020-07-05	20	9	45.0	0	0.0	0	0
2020-07-06	20	8	40.0	0	0.0	0	0
2020-07-07	20	10	50.0	0	0.0	0	0
2020-07-08	20	12	60.0	0	0.0	0	0
2020-07-09	20	7	35.0	0	0.0	0	0
2020-07-10	20	10	50.0	0	0.0	0	0
2020-07-11	20	10	50.0	0	0.0	0	0
2020-07-12	20	7	35.0	0	0.0	0	0
2020-07-13	20	7	35.0	0	0.0	0	0
2020-07-14	20	9	45.0	0	0.0	0	0
2020-07-15	20	12	60.0	0	0.0	0	0
2020-07-16	20	13	65.0	0	0.0	0	0
2020-07-17	20	10	50.0	0	0.0	0	0
2020-07-18	20	8	40.0	0	0.0	0	0
2020-07-19	20	7	35.0	0	0.0	0	0
2020-07-20	20	7	35.0	0	0.0	0	0
2020-07-21	20	7	35.0	0	0.0	0	0
2020-07-22	20	9	45.0	0	0.0	0	0
2020-07-23	20	7	35.0	0	0.0	0	0
2020-07-24	20	6	30.0	0	0.0	0	0
2020-07-25	20	9	45.0	0	0.0	0	0
